working on SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
SERVER_NAME,Status,LOGIN_NAME,JOB_NAME,IS_ENABLED,LastRun,JOB_ID,DESCRIPTION,DATE_CREATED,DATE_MODIFIED,DATABASE NAME
UDMSQL12,Never Ran,sa,sp_delete_backuphistory,Yes,,459c6436-23d4-4fca-b38e-cfa944de6bf9,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL12,Never Ran,sa,DatabaseIntegrityCheck - SYSTEM_DATABASES,Yes,,15a2b630-0d7c-4259-b6a9-dc972054c16b,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,DatabaseIntegrityCheck - SYSTEM_DATABASES,Yes,,15a2b630-0d7c-4259-b6a9-dc972054c16b,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL12,Never Ran,sa,sp_purge_jobhistory,Yes,,525a1edb-94db-4b0b-a5d9-ddb01c905a6e,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,sp_purge_jobhistory,Yes,,525a1edb-94db-4b0b-a5d9-ddb01c905a6e,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on TDMSQL12,Failed,DM\svc_dbmaint,Index_Stats_Shrink_UserDBs.Subplan_1,Yes,3/8/2015 3:00,33a78416-514e-426a-9364-48beaeabb2ca,No description available.,10/23/2013 15:39,2/27/2015 15:59,master
TDMSQL12,Failed,DM\svc_dbmaint,Index_Stats_Shrink_UserDBs.Subplan_1,Yes,3/8/2015 3:00,33a78416-514e-426a-9364-48beaeabb2ca,No description available.,10/23/2013 15:39,2/27/2015 15:59,master
working on UDMSQL12,Never Ran,sa,DatabaseBackup - SYSTEM_DATABASES - FULL,Yes,,9e5f6950-654e-4143-8692-e3e840df7dff,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
UDMSQL12,Never Ran,sa,DatabaseBackup - SYSTEM_DATABASES - FULL,Yes,,9e5f6950-654e-4143-8692-e3e840df7dff,Source: https://ola.hallengren.com,2/16/2015 10:49,2/16/2015 10:49,master
working on UDMSQL14,Never Ran,sa,Output File Cleanup,Yes,,f27db77d-4c19-4e8c-8a07-1eb580c62506,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,Output File Cleanup,Yes,,f27db77d-4c19-4e8c-8a07-1eb580c62506,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,sp_purge_jobhistory,Yes,,b2b7da08-41f0-4e01-84a2-1ef0f1feb2d3,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,sp_purge_jobhistory,Yes,,b2b7da08-41f0-4e01-84a2-1ef0f1feb2d3,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,DatabaseIntegrityCheck - USER_DATABASES,Yes,,ef1645f4-1082-459d-9ce1-3b25c4a0989a,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,DatabaseIntegrityCheck - USER_DATABASES,Yes,,ef1645f4-1082-459d-9ce1-3b25c4a0989a,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Success,sa,syspolicy_purge_history,Yes,10/19/2017 2:00,b40d3abf-b832-4bd2-8478-3c20e033fb9b,No description available.,12/16/2015 16:02,12/16/2015 16:02,master
UDMSQL14,Success,sa,syspolicy_purge_history,Yes,10/19/2017 2:00,b40d3abf-b832-4bd2-8478-3c20e033fb9b,No description available.,12/16/2015 16:02,12/16/2015 16:02,master
working on UDMSQL14,Never Ran,sa,CommandLog Cleanup,Yes,,0eb9570e-0ad0-44dc-af32-54a41c43aae5,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,CommandLog Cleanup,Yes,,0eb9570e-0ad0-44dc-af32-54a41c43aae5,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,DatabaseIntegrityCheck - SYSTEM_DATABASES,Yes,,f123c090-220e-48e7-8c6f-74adefb68c21,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,DatabaseIntegrityCheck - SYSTEM_DATABASES,Yes,,f123c090-220e-48e7-8c6f-74adefb68c21,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,DatabaseBackup - SYSTEM_DATABASES - FULL,Yes,,aa07211d-b23a-44e3-9393-769b555ef4e7,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,DatabaseBackup - SYSTEM_DATABASES - FULL,Yes,,aa07211d-b23a-44e3-9393-769b555ef4e7,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on TDMSQL14,Never Ran,sa,IndexOptimize - USER_DATABASES,Yes,,b8916450-ea98-4a7a-813a-f6bce246b605,Source: https://ola.hallengren.com,3/11/2016 11:24,3/11/2016 11:24,master
TDMSQL14,Never Ran,sa,IndexOptimize - USER_DATABASES,Yes,,b8916450-ea98-4a7a-813a-f6bce246b605,Source: https://ola.hallengren.com,3/11/2016 11:24,3/11/2016 11:24,master
working on UDMSQL14,Never Ran,sa,DatabaseBackup - USER_DATABASES - DIFF,Yes,,b528cbb2-0c09-4747-8571-c240a8eea682,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,DatabaseBackup - USER_DATABASES - DIFF,Yes,,b528cbb2-0c09-4747-8571-c240a8eea682,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,DatabaseBackup - USER_DATABASES - LOG,Yes,,b7ac2f5a-e332-4766-9910-d0bcaf313471,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,DatabaseBackup - USER_DATABASES - LOG,Yes,,b7ac2f5a-e332-4766-9910-d0bcaf313471,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,DatabaseBackup - USER_DATABASES - FULL,Yes,,b4b023e1-7053-496d-88e5-f502474d3b56,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,DatabaseBackup - USER_DATABASES - FULL,Yes,,b4b023e1-7053-496d-88e5-f502474d3b56,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSQL14,Never Ran,sa,sp_delete_backuphistory,Yes,,a22ca6f1-3991-413e-8eeb-f6899c8d853a,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
UDMSQL14,Never Ran,sa,sp_delete_backuphistory,Yes,,a22ca6f1-3991-413e-8eeb-f6899c8d853a,Source: http://ola.hallengren.com,12/16/2015 16:24,12/16/2015 16:24,master
working on UDMSSIS01,Success,sa,syspolicy_purge_history,Yes,2/20/2016 2:00,702e8d8c-3927-4917-9eb0-4ef84acd6011,No description available.,12/16/2015 16:22,12/16/2015 16:22,master
UDMSSIS01,Success,sa,syspolicy_purge_history,Yes,2/20/2016 2:00,702e8d8c-3927-4917-9eb0-4ef84acd6011,No description available.,12/16/2015 16:22,12/16/2015 16:22,master
working on UDMSSIS01,Success,##MS_SSISServerCleanupJobLogin##,SSIS Server Maintenance Job,Yes,2/20/2016 0:00,6927b627-3bb0-44d4-ba43-f3564d3876b8,Runs every day. The job removes operation records from the database that are outside the retention window and maintains a maximum number of versions per project.,12/30/2015 10:32,12/10/2016 15:05,master
UDMSSIS01,Success,##MS_SSISServerCleanupJobLogin##,SSIS Server Maintenance Job,Yes,2/20/2016 0:00,6927b627-3bb0-44d4-ba43-f3564d3876b8,Runs every day. The job removes operation records from the database that are outside the retention window and maintains a maximum number of versions per project.,12/30/2015 10:32,12/10/2016 15:05,master
working on UDMSSIS02,Never Ran,sa,syspolicy_purge_history,Yes,,a8e8e2da-958c-413c-baf0-26987d2cee09,No description available.,2/27/2017 8:54,2/27/2017 8:54,master
UDMSSIS02,Never Ran,sa,syspolicy_purge_history,Yes,,a8e8e2da-958c-413c-baf0-26987d2cee09,No description available.,2/27/2017 8:54,2/27/2017 8:54,master
working on UDMSSIS02,Never Ran,##MS_SSISServerCleanupJobLogin##,SSIS Server Maintenance Job,Yes,,6197064c-5048-424b-8f12-bf564885040f,Runs every day. The job removes operation records from the database that are outside the retention window and maintains a maximum number of versions per project.,2/27/2017 9:27,2/27/2017 9:27,master
UDMSSIS02,Never Ran,##MS_SSISServerCleanupJobLogin##,SSIS Server Maintenance Job,Yes,,6197064c-5048-424b-8f12-bf564885040f,Runs every day. The job removes operation records from the database that are outside the retention window and maintains a maximum number of versions per project.,2/27/2017 9:27,2/27/2017 9:27,master
working on UDMSSRS04,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,bcdcddc3-239d-4741-82c4-f479927b1513,No description available.,11/3/2016 14:59,11/3/2016 14:59,master
UDMSSRS04,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,bcdcddc3-239d-4741-82c4-f479927b1513,No description available.,11/3/2016 14:59,11/3/2016 14:59,master
working on UDMSQL10,Never Ran,sa,sp_delete_backuphistory,Yes,,9ad17618-4299-40af-9a7a-2dfb65247d18,Source: https://ola.hallengren.com,4/21/2016 14:56,4/21/2016 14:56,master
UDMSQL10,Never Ran,sa,sp_delete_backuphistory,Yes,,9ad17618-4299-40af-9a7a-2dfb65247d18,Source: https://ola.hallengren.com,4/21/2016 14:56,4/21/2016 14:56,master
working on UDMSQL10,Never Ran,sa,Output File Cleanup,Yes,,aee4cdec-11da-4f56-bc8f-43befb21e172,Source: https://ola.hallengren.com,4/21/2016 14:56,4/21/2016 14:56,master
UDMSQL10,Never Ran,sa,Output File Cleanup,Yes,,aee4cdec-11da-4f56-bc8f-43befb21e172,Source: https://ola.hallengren.com,4/21/2016 14:56,4/21/2016 14:56,master
working on UDMSQL07,Never Ran,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,,bb4cc55e-4dc0-4ac9-8af1-e1220396f6b5,Source: http://ola.hallengren.com,12/16/2015 16:25,7/26/2017 10:26,master
UDMSQL07,Never Ran,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,,bb4cc55e-4dc0-4ac9-8af1-e1220396f6b5,Source: http://ola.hallengren.com,12/16/2015 16:25,7/26/2017 10:26,master
working on UDMSQL10,Failed,DM\svc_dbmaint,IndexOptimize - RAI DB,Yes,4/21/2016 15:04,aa2b3f45-4f18-42f2-a4fd-5c2307ba90e6,Source: https://ola.hallengren.com,4/21/2016 15:01,10/27/2016 11:29,master
UDMSQL10,Failed,DM\svc_dbmaint,IndexOptimize - RAI DB,Yes,4/21/2016 15:04,aa2b3f45-4f18-42f2-a4fd-5c2307ba90e6,Source: https://ola.hallengren.com,4/21/2016 15:01,10/27/2016 11:29,master
working on UDMSQL10,Never Ran,DM\svc_dbmaint,CommandLog Cleanup,Yes,,d3b99ec6-48e9-44f3-bfd0-859a6b71cd05,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:30,master
UDMSQL10,Never Ran,DM\svc_dbmaint,CommandLog Cleanup,Yes,,d3b99ec6-48e9-44f3-bfd0-859a6b71cd05,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:30,master
working on UDMSQL10,Failed,DM\svc_dbmaint,Daily - IndexMaintenance.Subplan_1,Yes,10/27/2016 11:20,75f0b285-8339-4710-b378-8f86259179a0,No description available.,4/21/2016 15:07,10/27/2016 11:29,master
UDMSQL10,Failed,DM\svc_dbmaint,Daily - IndexMaintenance.Subplan_1,Yes,10/27/2016 11:20,75f0b285-8339-4710-b378-8f86259179a0,No description available.,4/21/2016 15:07,10/27/2016 11:29,master
working on UDMSQL10,Failed,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,4/22/2016 9:48,2f1f10a3-c5bb-4dda-8d4b-98de0f8b83b6,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:29,master
UDMSQL10,Failed,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,4/22/2016 9:48,2f1f10a3-c5bb-4dda-8d4b-98de0f8b83b6,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:29,master
working on UDMSQL10,Canceled,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,4/22/2016 9:34,2f1f10a3-c5bb-4dda-8d4b-98de0f8b83b6,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:29,master
UDMSQL10,Canceled,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,4/22/2016 9:34,2f1f10a3-c5bb-4dda-8d4b-98de0f8b83b6,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:29,master
working on UDMSQL10,Success,DM\svc_dbmaint,IndexOptimize - RAI DB,Yes,10/27/2016 11:30,aa2b3f45-4f18-42f2-a4fd-5c2307ba90e6,Source: https://ola.hallengren.com,4/21/2016 15:01,10/27/2016 11:29,master
UDMSQL10,Success,DM\svc_dbmaint,IndexOptimize - RAI DB,Yes,10/27/2016 11:30,aa2b3f45-4f18-42f2-a4fd-5c2307ba90e6,Source: https://ola.hallengren.com,4/21/2016 15:01,10/27/2016 11:29,master
working on UDMSQL10,Never Ran,sa,sp_purge_jobhistory,Yes,,2ed7ae00-e4a2-4391-9d53-bc22fed7c86e,Source: https://ola.hallengren.com,4/21/2016 14:56,4/21/2016 14:56,master
UDMSQL10,Never Ran,sa,sp_purge_jobhistory,Yes,,2ed7ae00-e4a2-4391-9d53-bc22fed7c86e,Source: https://ola.hallengren.com,4/21/2016 14:56,4/21/2016 14:56,master
working on UDMSQL10,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,4077b6c8-4609-4a5c-9604-cd0ffd7a26d8,No description available.,4/27/2015 21:08,4/27/2015 21:08,master
UDMSQL10,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,4077b6c8-4609-4a5c-9604-cd0ffd7a26d8,No description available.,4/27/2015 21:08,4/27/2015 21:08,master
working on UDMSQL10,Success,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,7/28/2016 15:29,2f1f10a3-c5bb-4dda-8d4b-98de0f8b83b6,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:29,master
UDMSQL10,Success,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,7/28/2016 15:29,2f1f10a3-c5bb-4dda-8d4b-98de0f8b83b6,Source: https://ola.hallengren.com,4/21/2016 14:56,10/27/2016 11:29,master
working on UDMSQL12,Never Ran,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,,dc2d362f-b7b9-4df5-9cf5-e081d5cc6e9c,Source: https://ola.hallengren.com,2/16/2015 10:49,10/21/2016 10:03,master
UDMSQL12,Never Ran,DM\svc_dbmaint,IndexOptimize - USER_DATABASES,Yes,,dc2d362f-b7b9-4df5-9cf5-e081d5cc6e9c,Source: https://ola.hallengren.com,2/16/2015 10:49,10/21/2016 10:03,master
working on TDMSQL10,Success,sa,syspolicy_purge_history,Yes,10/23/2017 2:00,115c54df-dda2-4a82-a731-dd8576e50975,No description available.,12/9/2015 15:34,12/9/2015 15:34,master
